,ds,y
0,2010-02-05,24924.5
1,2010-02-12,46039.49
2,2010-02-19,41595.55
3,2010-02-26,19403.54
4,2010-03-05,21827.9
5,2010-03-12,21043.39
6,2010-03-19,22136.64
7,2010-03-26,26229.21
8,2010-04-02,57258.43
9,2010-04-09,42960.91
10,2010-04-16,17596.96
11,2010-04-23,16145.35
12,2010-04-30,16555.11
13,2010-05-07,17413.94
14,2010-05-14,18926.74
15,2010-05-21,14773.04
16,2010-05-28,15580.43
17,2010-06-04,17558.09
18,2010-06-11,16637.62
19,2010-06-18,16216.27
20,2010-06-25,16328.72
21,2010-07-02,16333.14
22,2010-07-09,17688.76
23,2010-07-16,17150.84
24,2010-07-23,15360.45
25,2010-07-30,15381.82
26,2010-08-06,17508.41
27,2010-08-13,15536.4
28,2010-08-20,15740.13
29,2010-08-27,15793.87
30,2010-09-03,16241.78
31,2010-09-10,18194.74
32,2010-09-17,19354.23
33,2010-09-24,18122.52
34,2010-10-01,20094.19
35,2010-10-08,23388.03
36,2010-10-15,26978.34
37,2010-10-22,25543.04
38,2010-10-29,38640.93
39,2010-11-05,34238.88
40,2010-11-12,19549.39
41,2010-11-19,19552.84
42,2010-11-26,18820.29
43,2010-12-03,22517.56
44,2010-12-10,31497.65
45,2010-12-17,44912.86
46,2010-12-24,55931.23
47,2010-12-31,19124.58
48,2011-01-07,15984.24
49,2011-01-14,17359.7
50,2011-01-21,17341.47
51,2011-01-28,18461.18
52,2011-02-04,21665.76
53,2011-02-11,37887.17
54,2011-02-18,46845.87
55,2011-02-25,19363.83
56,2011-03-04,20327.61
57,2011-03-11,21280.4
58,2011-03-18,20334.23
59,2011-03-25,20881.1
60,2011-04-01,20398.09
61,2011-04-08,23873.79
62,2011-04-15,28762.37
63,2011-04-22,50510.31
64,2011-04-29,41512.39
65,2011-05-06,20138.19
66,2011-05-13,17235.15
67,2011-05-20,15136.78
68,2011-05-27,15741.6
69,2011-06-03,16434.15
70,2011-06-10,15883.52
71,2011-06-17,14978.09
72,2011-06-24,15682.81
73,2011-07-01,15363.5
74,2011-07-08,16148.87
75,2011-07-15,15654.85
76,2011-07-22,15766.6
77,2011-07-29,15922.41
78,2011-08-05,15295.55
79,2011-08-12,14539.79
80,2011-08-19,14689.24
81,2011-08-26,14537.37
82,2011-09-02,15277.27
83,2011-09-09,17746.68
84,2011-09-16,18535.48
85,2011-09-23,17859.3
86,2011-09-30,18337.68
87,2011-10-07,20797.58
88,2011-10-14,23077.55
89,2011-10-21,23351.8
90,2011-10-28,31579.9
91,2011-11-04,39886.06
92,2011-11-11,18689.54
93,2011-11-18,19050.66
94,2011-11-25,20911.25
95,2011-12-02,25293.49
96,2011-12-09,33305.92
97,2011-12-16,45773.03
98,2011-12-23,46788.75
99,2011-12-30,23350.88
100,2012-01-06,16567.69
101,2012-01-13,16894.4
102,2012-01-20,18365.1
103,2012-01-27,18378.16
104,2012-02-03,23510.49
105,2012-02-10,36988.49
106,2012-02-17,54060.1
107,2012-02-24,20124.22
108,2012-03-02,20113.03
109,2012-03-09,21140.07
110,2012-03-16,22366.88
111,2012-03-23,22107.7
112,2012-03-30,28952.86
113,2012-04-06,57592.12
114,2012-04-13,34684.21
115,2012-04-20,16976.19
116,2012-04-27,16347.6
117,2012-05-04,17147.44
118,2012-05-11,18164.2
119,2012-05-18,18517.79
120,2012-05-25,16963.55
121,2012-06-01,16065.49
122,2012-06-08,17666.0
123,2012-06-15,17558.82
124,2012-06-22,16633.41
125,2012-06-29,15722.82
126,2012-07-06,17823.37
127,2012-07-13,16566.18
128,2012-07-20,16348.06
129,2012-07-27,15731.18
130,2012-08-03,16628.31
131,2012-08-10,16119.92
132,2012-08-17,17330.7
133,2012-08-24,16286.4
134,2012-08-31,16680.24
135,2012-09-07,18322.37
136,2012-09-14,19616.22
137,2012-09-21,19251.5
138,2012-09-28,18947.81
139,2012-10-05,21904.47
140,2012-10-12,22764.01
141,2012-10-19,24185.27
142,2012-10-26,27390.81
