,ds,y
420584,2010-02-05,22708.11
420585,2010-02-12,13860.64
420586,2010-02-19,16650.13
420587,2010-02-26,17557.56
420588,2010-03-05,16332.01
420589,2010-03-12,16716.3
420590,2010-03-19,15684.66
420591,2010-03-26,14905.05
420592,2010-04-02,14514.63
420593,2010-04-09,13837.18
420594,2010-04-16,15716.09
420595,2010-04-23,15531.66
420596,2010-04-30,14771.28
420597,2010-05-07,15368.57
420598,2010-05-14,15691.23
420599,2010-05-21,16119.49
420600,2010-05-28,15213.86
420601,2010-06-04,14909.75
420602,2010-06-11,16361.1
420603,2010-06-18,16738.93
420604,2010-06-25,15042.64
420605,2010-07-02,15497.63
420606,2010-07-09,15746.97
420607,2010-07-16,15268.78
420608,2010-07-23,13378.45
420609,2010-07-30,14569.64
420610,2010-08-06,15637.91
420611,2010-08-13,16589.64
420612,2010-08-20,14794.25
420613,2010-08-27,14772.83
420614,2010-09-03,15753.5
420615,2010-09-10,15522.7
420616,2010-09-17,15801.01
420617,2010-09-24,15319.49
420618,2010-10-01,14727.85
420619,2010-10-08,16672.07
420620,2010-10-15,16222.36
420621,2010-10-22,15513.25
420622,2010-10-29,16001.11
420623,2010-11-05,16375.48
420624,2010-11-12,16028.6
420625,2010-11-19,15805.03
420626,2010-11-26,12964.44
420627,2010-12-03,15159.1
420628,2010-12-10,16490.11
420629,2010-12-17,16526.38
420630,2010-12-24,15245.83
420631,2010-12-31,14273.76
420632,2011-01-07,16962.36
420633,2011-01-14,17721.81
420634,2011-01-21,16729.92
420635,2011-01-28,17193.23
420636,2011-02-04,20060.48
420637,2011-02-11,18611.47
420638,2011-02-18,17070.17
420639,2011-02-25,17049.22
420640,2011-03-04,17720.22
420641,2011-03-11,17277.8
420642,2011-03-18,16846.23
420643,2011-03-25,16557.75
420644,2011-04-01,17601.22
420645,2011-04-08,18768.36
420646,2011-04-15,18359.51
420647,2011-04-22,17342.75
420648,2011-04-29,13653.46
420649,2011-05-06,17803.17
420650,2011-05-13,16788.7
420651,2011-05-20,16931.2
420652,2011-05-27,16098.44
420653,2011-06-03,16936.12
420654,2011-06-10,18482.66
420655,2011-06-17,19045.72
420656,2011-06-24,16816.77
420657,2011-07-01,16149.35
420658,2011-07-08,18005.8
420659,2011-07-15,19228.92
420660,2011-07-22,17796.24
420661,2011-07-29,17511.94
420662,2011-08-05,19122.66
420663,2011-08-12,18928.3
420664,2011-08-19,17658.66
420665,2011-08-26,19609.21
420666,2011-09-02,17604.42
420667,2011-09-09,19142.45
420668,2011-09-16,18805.42
420669,2011-09-23,17520.72
420670,2011-09-30,16108.57
420671,2011-10-07,19400.94
420672,2011-10-14,18755.41
420673,2011-10-21,16841.7
420674,2011-10-28,16830.31
420675,2011-11-04,17256.02
420676,2011-11-11,18275.25
420677,2011-11-18,17142.28
420678,2011-11-25,13811.49
420679,2011-12-02,15517.96
420680,2011-12-09,18106.08
420681,2011-12-16,17750.51
420682,2011-12-23,16645.78
420683,2011-12-30,12852.47
420684,2012-01-06,17877.2
420685,2012-01-13,18834.65
420686,2012-01-20,18551.53
420687,2012-01-27,16639.89
420688,2012-02-03,18855.76
420689,2012-02-10,20740.3
420690,2012-02-17,17591.52
420691,2012-02-24,16977.55
420692,2012-03-02,17461.8
420693,2012-03-09,18553.42
420694,2012-03-16,17564.96
420695,2012-03-23,14671.66
420696,2012-03-30,15518.81
420697,2012-04-06,17144.65
420698,2012-04-13,15723.54
420699,2012-04-20,15930.97
420700,2012-04-27,16203.6
420701,2012-05-04,18124.29
420702,2012-05-11,17436.65
420703,2012-05-18,16837.61
420704,2012-05-25,14629.41
420705,2012-06-01,15535.24
420706,2012-06-08,17109.54
420707,2012-06-15,17978.74
420708,2012-06-22,16594.3
420709,2012-06-29,16079.73
420710,2012-07-06,17197.97
420711,2012-07-13,18036.95
420712,2012-07-20,16905.09
420713,2012-07-27,15275.51
420714,2012-08-03,16891.36
420715,2012-08-10,17699.53
420716,2012-08-17,17157.63
420717,2012-08-24,15007.68
420718,2012-08-31,13984.12
420719,2012-09-07,15375.97
420720,2012-09-14,16241.73
420721,2012-09-21,16033.4
420722,2012-09-28,15020.88
420723,2012-10-05,16221.11
420724,2012-10-12,17566.28
420725,2012-10-19,15985.6
420726,2012-10-26,16330.84
