,ds,y
261468,2010-02-05,2836.0
261469,2010-02-12,2594.0
261470,2010-02-19,2404.0
261471,2010-02-26,2041.0
261472,2010-03-05,2405.0
261473,2010-03-12,3873.68
261474,2010-03-19,3728.0
261475,2010-03-26,4017.0
261476,2010-04-02,4478.0
261477,2010-04-09,5330.0
261478,2010-04-16,4912.0
261479,2010-04-23,3242.0
261480,2010-04-30,2921.0
261481,2010-05-07,5756.0
261482,2010-05-14,3814.0
261483,2010-05-21,4265.0
261484,2010-05-28,4701.0
261485,2010-06-04,4520.43
261486,2010-06-11,3522.38
261487,2010-06-18,2838.87
261488,2010-06-25,2646.5
261489,2010-07-02,3650.0
261490,2010-07-09,3166.0
261491,2010-07-16,2134.5
261492,2010-07-23,2158.0
261493,2010-07-30,2177.43
261494,2010-08-06,2562.0
261495,2010-08-13,2488.0
261496,2010-08-20,2741.5
261497,2010-08-27,2934.0
261498,2010-09-03,2735.5
261499,2010-09-10,3433.5
261500,2010-09-17,4424.0
261501,2010-09-24,3278.0
261502,2010-10-01,2839.0
261503,2010-10-08,3376.5
261504,2010-10-15,3290.0
261505,2010-10-22,4532.5
261506,2010-10-29,3818.5
261507,2010-11-05,3856.0
261508,2010-11-12,3519.0
261509,2010-11-19,3350.0
261510,2010-11-26,4366.0
261511,2010-12-03,2690.0
261512,2010-12-10,4395.0
261513,2010-12-17,3325.0
261514,2010-12-24,4578.0
261515,2010-12-31,1386.0
261516,2011-01-07,1958.25
261517,2011-01-14,1513.0
261518,2011-01-21,1544.0
261519,2011-01-28,1506.5
261520,2011-02-04,1909.29
261521,2011-02-11,1428.82
261522,2011-02-18,2639.17
261523,2011-02-25,2254.36
261524,2011-03-04,2422.76
261525,2011-03-11,2077.97
261526,2011-03-18,2368.88
261527,2011-03-25,2293.57
261528,2011-04-01,2155.47
261529,2011-04-08,3140.79
261530,2011-04-15,2869.46
261531,2011-04-22,4381.76
261532,2011-04-29,4327.79
261533,2011-05-06,4309.7
261534,2011-05-13,4085.67
261535,2011-05-20,4003.88
261536,2011-05-27,4936.88
261537,2011-06-03,6198.91
261538,2011-06-10,5463.06
261539,2011-06-17,4480.75
261540,2011-06-24,3578.88
261541,2011-07-01,3602.46
261542,2011-07-08,3788.68
261543,2011-07-15,3932.8
261544,2011-07-22,3933.61
261545,2011-07-29,3314.09
261546,2011-08-05,3296.01
261547,2011-08-12,3055.25
261548,2011-08-19,2827.04
261549,2011-08-26,3131.42
261550,2011-09-02,2939.21
261551,2011-09-09,2909.74
261552,2011-09-16,4316.96
261553,2011-09-23,4799.63
261554,2011-09-30,3953.11
261555,2011-10-07,5119.18
261556,2011-10-14,3248.24
261557,2011-10-21,4644.01
261558,2011-10-28,4343.43
261559,2011-11-04,3012.03
261560,2011-11-11,3700.44
261561,2011-11-18,3051.6
261562,2011-11-25,4136.82
261563,2011-12-02,3542.57
261564,2011-12-09,4929.34
261565,2011-12-16,4768.57
261566,2011-12-23,4803.45
261567,2011-12-30,3000.02
261568,2012-01-06,2363.9
261569,2012-01-13,2243.47
261570,2012-01-20,1767.16
261571,2012-01-27,1463.19
261572,2012-02-03,3086.62
261573,2012-02-10,2996.41
261574,2012-02-17,2560.46
261575,2012-02-24,3128.29
261576,2012-03-02,2536.73
261577,2012-03-09,3614.04
261578,2012-03-16,4081.78
261579,2012-03-23,4725.44
261580,2012-03-30,4894.89
261581,2012-04-06,4810.56
261582,2012-04-13,3612.99
261583,2012-04-20,4918.13
261584,2012-04-27,4222.29
261585,2012-05-04,4444.05
261586,2012-05-11,4382.76
261587,2012-05-18,6245.4
261588,2012-05-25,6179.8
261589,2012-06-01,7017.71
261590,2012-06-08,5312.83
261591,2012-06-15,4811.31
261592,2012-06-22,5825.55
261593,2012-06-29,5161.18
261594,2012-07-06,7317.77
261595,2012-07-13,4800.15
261596,2012-07-20,4185.97
261597,2012-07-27,4260.71
261598,2012-08-03,2855.53
261599,2012-08-10,2362.55
261600,2012-08-17,2583.34
261601,2012-08-24,2681.23
261602,2012-08-31,2376.37
261603,2012-09-07,2919.57
261604,2012-09-14,2600.04
261605,2012-09-21,3311.81
261606,2012-09-28,3882.35
261607,2012-10-05,3976.93
261608,2012-10-12,3673.19
261609,2012-10-19,3810.33
261610,2012-10-26,3822.65
